date,price_TCSG,volume_TCSG,log_return_TCSG,volatility_TCSG,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX,sentiment_mean,sentiment_std,news_count,sentiment_mean_lag1,sentiment_std_lag1,news_count_lag1,TCSG_return_lag1,MOEX_return_lag1,MOEX_volatility_lag1,sentiment_mean_lag2,sentiment_std_lag2,news_count_lag2,TCSG_return_lag2,MOEX_return_lag2,MOEX_volatility_lag2,sentiment_mean_lag3,sentiment_std_lag3,news_count_lag3,TCSG_return_lag3,MOEX_return_lag3,MOEX_volatility_lag3,sentiment_mean_lag4,sentiment_std_lag4,news_count_lag4,TCSG_return_lag4,MOEX_return_lag4,MOEX_volatility_lag4,sentiment_mean_lag5,sentiment_std_lag5,news_count_lag5,TCSG_return_lag5,MOEX_return_lag5,MOEX_volatility_lag5,sentiment_mean_lag6,sentiment_std_lag6,news_count_lag6,TCSG_return_lag6,MOEX_return_lag6,MOEX_volatility_lag6,sentiment_mean_lag7,sentiment_std_lag7,news_count_lag7,TCSG_return_lag7,MOEX_return_lag7,MOEX_volatility_lag7,sentiment_mean_lag8,sentiment_std_lag8,news_count_lag8,TCSG_return_lag8,MOEX_return_lag8,MOEX_volatility_lag8,sentiment_mean_lag9,sentiment_std_lag9,news_count_lag9,TCSG_return_lag9,MOEX_return_lag9,MOEX_volatility_lag9,sentiment_mean_lag10,sentiment_std_lag10,news_count_lag10,TCSG_return_lag10,MOEX_return_lag10,MOEX_volatility_lag10
2019-11-26,1199.4,128226,-0.0054876665527213,0.0096950063554497,105.0,12990450,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397,0.0,0.0,0.0,-0.0072944620524106,0.0033045029584272,0.0096787190107902,0.0,0.0,0.0,-0.0041209981670585,-0.0093458624182377,0.0102481442129887,0.0,0.0,0.0,-0.0205152098899851,0.0262203856131541,0.0100978725180797,0.0,0.0,0.0,-0.011218066361277,0.0049875415110389,0.0082902856382317,0.0,0.0,0.0,0.0039920212695374,-0.0082230708044442,0.0109904750920508,0.0,0.0,0.0,-0.0089200973745589,0.007277834825273,0.0113101736748351,0.0,0.0,0.0,0.0174362571428985,-0.009463475438605,0.0111483179190233,0.0,0.0,0.0,0.0030707094835807,-0.0017937224540268,0.0106938028376126,0.0,0.0,0.0,0.0110678213128858,-0.0030045090202987,0.0106033610397279
2019-11-27,1203.0,70640,0.0029970052402695,0.0093394641839891,106.18,33,0.0225734619503713,0.0125978878883326,0.0,0.0,0.0,0.0,0.0,0.0,-0.0054876665527213,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397,0.0,0.0,0.0,-0.0072944620524106,0.0033045029584272,0.0096787190107902,0.0,0.0,0.0,-0.0041209981670585,-0.0093458624182377,0.0102481442129887,0.0,0.0,0.0,-0.0205152098899851,0.0262203856131541,0.0100978725180797,0.0,0.0,0.0,-0.011218066361277,0.0049875415110389,0.0082902856382317,0.0,0.0,0.0,0.0039920212695374,-0.0082230708044442,0.0109904750920508,0.0,0.0,0.0,-0.0089200973745589,0.007277834825273,0.0113101736748351,0.0,0.0,0.0,0.0174362571428985,-0.009463475438605,0.0111483179190233,0.0,0.0,0.0,0.0030707094835807,-0.0017937224540268,0.0106938028376126
2019-11-28,1194.2,117215,-0.0073419318617868,0.0094524903566356,105.19,13,-0.012376746398297,0.0129155052866339,0.0,0.0,0.0,0.0,0.0,0.0,0.0029970052402695,0.0225734619503713,0.0125978878883326,0.0,0.0,0.0,-0.0054876665527213,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397,0.0,0.0,0.0,-0.0072944620524106,0.0033045029584272,0.0096787190107902,0.0,0.0,0.0,-0.0041209981670585,-0.0093458624182377,0.0102481442129887,0.0,0.0,0.0,-0.0205152098899851,0.0262203856131541,0.0100978725180797,0.0,0.0,0.0,-0.011218066361277,0.0049875415110389,0.0082902856382317,0.0,0.0,0.0,0.0039920212695374,-0.0082230708044442,0.0109904750920508,0.0,0.0,0.0,-0.0089200973745589,0.007277834825273,0.0113101736748351,0.0,0.0,0.0,0.0174362571428985,-0.009463475438605,0.0111483179190233
2019-11-29,1185.8,87847,-0.0070588528396248,0.0095505673720832,105.08,7,-0.004746994578131,0.0125877756570849,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073419318617868,-0.012376746398297,0.0129155052866339,0.0,0.0,0.0,0.0029970052402695,0.0225734619503713,0.0125978878883326,0.0,0.0,0.0,-0.0054876665527213,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397,0.0,0.0,0.0,-0.0072944620524106,0.0033045029584272,0.0096787190107902,0.0,0.0,0.0,-0.0041209981670585,-0.0093458624182377,0.0102481442129887,0.0,0.0,0.0,-0.0205152098899851,0.0262203856131541,0.0100978725180797,0.0,0.0,0.0,-0.011218066361277,0.0049875415110389,0.0082902856382317,0.0,0.0,0.0,0.0039920212695374,-0.0082230708044442,0.0109904750920508,0.0,0.0,0.0,-0.0089200973745589,0.007277834825273,0.0113101736748351
2019-12-02,1176.4,62359,-0.0079587245934271,0.0096676805437096,106.28,7086650,0.0054722280154208,0.0124421934869963,0.0,0.0,0.0,0.0,0.0,0.0,-0.0070588528396248,-0.004746994578131,0.0125877756570849,0.0,0.0,0.0,-0.0073419318617868,-0.012376746398297,0.0129155052866339,0.0,0.0,0.0,0.0029970052402695,0.0225734619503713,0.0125978878883326,0.0,0.0,0.0,-0.0054876665527213,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397,0.0,0.0,0.0,-0.0072944620524106,0.0033045029584272,0.0096787190107902,0.0,0.0,0.0,-0.0041209981670585,-0.0093458624182377,0.0102481442129887,0.0,0.0,0.0,-0.0205152098899851,0.0262203856131541,0.0100978725180797,0.0,0.0,0.0,-0.011218066361277,0.0049875415110389,0.0082902856382317,0.0,0.0,0.0,0.0039920212695374,-0.0082230708044442,0.0109904750920508
2019-12-03,1133.0,127204,-0.0375899456518337,0.0123686765077214,103.89,7044440,-0.0372232658115406,0.0154337949997204,0.0,0.0,0.0,0.0,0.0,0.0,-0.0079587245934271,0.0054722280154208,0.0124421934869963,0.0,0.0,0.0,-0.0070588528396248,-0.004746994578131,0.0125877756570849,0.0,0.0,0.0,-0.0073419318617868,-0.012376746398297,0.0129155052866339,0.0,0.0,0.0,0.0029970052402695,0.0225734619503713,0.0125978878883326,0.0,0.0,0.0,-0.0054876665527213,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397,0.0,0.0,0.0,-0.0072944620524106,0.0033045029584272,0.0096787190107902,0.0,0.0,0.0,-0.0041209981670585,-0.0093458624182377,0.0102481442129887,0.0,0.0,0.0,-0.0205152098899851,0.0262203856131541,0.0100978725180797,0.0,0.0,0.0,-0.011218066361277,0.0049875415110389,0.0082902856382317
2019-12-04,1140.0,34008,0.0061592803605348,0.0122515326754948,106.0,24,0.0298758336227579,0.0159566262890074,0.0,0.0,0.0,0.0,0.0,0.0,-0.0375899456518337,-0.0372232658115406,0.0154337949997204,0.0,0.0,0.0,-0.0079587245934271,0.0054722280154208,0.0124421934869963,0.0,0.0,0.0,-0.0070588528396248,-0.004746994578131,0.0125877756570849,0.0,0.0,0.0,-0.0073419318617868,-0.012376746398297,0.0129155052866339,0.0,0.0,0.0,0.0029970052402695,0.0225734619503713,0.0125978878883326,0.0,0.0,0.0,-0.0054876665527213,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397,0.0,0.0,0.0,-0.0072944620524106,0.0033045029584272,0.0096787190107902,0.0,0.0,0.0,-0.0041209981670585,-0.0093458624182377,0.0102481442129887,0.0,0.0,0.0,-0.0205152098899851,0.0262203856131541,0.0100978725180797
2019-12-05,1167.8,72013,0.024093374460896,0.0131508609556706,105.36,41,-0.0058673396295904,0.0158548192717927,0.0,0.0,0.0,0.0,0.0,0.0,0.0061592803605348,0.0298758336227579,0.0159566262890074,0.0,0.0,0.0,-0.0375899456518337,-0.0372232658115406,0.0154337949997204,0.0,0.0,0.0,-0.0079587245934271,0.0054722280154208,0.0124421934869963,0.0,0.0,0.0,-0.0070588528396248,-0.004746994578131,0.0125877756570849,0.0,0.0,0.0,-0.0073419318617868,-0.012376746398297,0.0129155052866339,0.0,0.0,0.0,0.0029970052402695,0.0225734619503713,0.0125978878883326,0.0,0.0,0.0,-0.0054876665527213,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397,0.0,0.0,0.0,-0.0072944620524106,0.0033045029584272,0.0096787190107902,0.0,0.0,0.0,-0.0041209981670585,-0.0093458624182377,0.0102481442129887
2019-12-06,1186.2,125107,0.015633283555189,0.0137566389976267,106.3,9,0.0184188250793745,0.016496802338452,0.0,0.0,0.0,0.0,0.0,0.0,0.024093374460896,-0.0058673396295904,0.0158548192717927,0.0,0.0,0.0,0.0061592803605348,0.0298758336227579,0.0159566262890074,0.0,0.0,0.0,-0.0375899456518337,-0.0372232658115406,0.0154337949997204,0.0,0.0,0.0,-0.0079587245934271,0.0054722280154208,0.0124421934869963,0.0,0.0,0.0,-0.0070588528396248,-0.004746994578131,0.0125877756570849,0.0,0.0,0.0,-0.0073419318617868,-0.012376746398297,0.0129155052866339,0.0,0.0,0.0,0.0029970052402695,0.0225734619503713,0.0125978878883326,0.0,0.0,0.0,-0.0054876665527213,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397,0.0,0.0,0.0,-0.0072944620524106,0.0033045029584272,0.0096787190107902
2019-12-09,1228.4,89712,0.0349575891620411,0.0159968258979838,106.05,3623120,-0.0011309020147903,0.014856856436739,0.0,0.0,0.0,0.0,0.0,0.0,0.015633283555189,0.0184188250793745,0.016496802338452,0.0,0.0,0.0,0.024093374460896,-0.0058673396295904,0.0158548192717927,0.0,0.0,0.0,0.0061592803605348,0.0298758336227579,0.0159566262890074,0.0,0.0,0.0,-0.0375899456518337,-0.0372232658115406,0.0154337949997204,0.0,0.0,0.0,-0.0079587245934271,0.0054722280154208,0.0124421934869963,0.0,0.0,0.0,-0.0070588528396248,-0.004746994578131,0.0125877756570849,0.0,0.0,0.0,-0.0073419318617868,-0.012376746398297,0.0129155052866339,0.0,0.0,0.0,0.0029970052402695,0.0225734619503713,0.0125978878883326,0.0,0.0,0.0,-0.0054876665527213,0.0055391221751169,0.0114134489026482,0.0,0.0,0.0,0.0033222621919778,-0.0235644469272655,0.0109499857215397
