date,price_TCSG,volume_TCSG,log_return_TCSG,volatility_TCSG
2019-10-28,1206.0,204766,,
2019-10-29,1219.8,68382,0.011377812575225224,
2019-10-30,1217.0,36691,-0.0022980968748287835,
2019-10-31,1216.0,19326,-0.0008220304614148749,
2019-11-01,1214.0,16625,-0.0016460909066687917,
2019-11-05,1198.0,61347,-0.01326719294404891,
2019-11-06,1208.6,21717,0.008809165252063322,
2019-11-07,1225.8,38222,0.014131027124173181,
2019-11-08,1222.8,20250,-0.002450381034951917,
2019-11-11,1222.0,7094,-0.0006544502851387309,
2019-11-12,1235.6,27393,0.011067821312885839,
2019-11-13,1239.4,33644,0.0030707094835807046,
2019-11-14,1261.2,84600,0.017436257142898537,
2019-11-15,1250.0,33713,-0.008920097374558967,
2019-11-18,1255.0,43925,0.003992021269537457,
2019-11-19,1241.0,128523,-0.01121806636127702,
2019-11-20,1215.8,126020,-0.020515209889985106,
2019-11-21,1210.8,63452,-0.004120998167058573,
2019-11-22,1202.0,80217,-0.007294462052410662,
2019-11-25,1206.0,52066,0.00332226219197786,
2019-11-26,1199.4,128226,-0.005487666552721335,0.009695006355449762
2019-11-27,1203.0,70640,0.002997005240269506,0.009339464183989125
2019-11-28,1194.2,117215,-0.0073419318617868245,0.009452490356635621
2019-11-29,1185.8,87847,-0.0070588528396248,0.00955056737208325
2019-12-02,1176.4,62359,-0.007958724593427197,0.009667680543709666
2019-12-03,1133.0,127204,-0.037589945651833705,0.012368676507721495
2019-12-04,1140.0,34008,0.006159280360534867,0.012251532675494892
2019-12-05,1167.8,72013,0.02409337446089601,0.013150860955670668
2019-12-06,1186.2,125107,0.015633283555189097,0.01375663899762673
2019-12-09,1228.4,89712,0.034957589162041156,0.015996825897983808
2019-12-10,1238.8,158239,0.008430659532380244,0.01591371391124169
2019-12-11,1234.8,102807,-0.003234155471043448,0.01591482791292158
2019-12-12,1235.0,176037,0.0001619564340732692,0.015367452033686056
2019-12-13,1257.2,92558,0.017816055861334907,0.015803467341306155
2019-12-16,1300.0,244473,0.03347723852621548,0.017456152020840467
2019-12-17,1299.6,90448,-0.0003077396546829009,0.017197750617444163
2019-12-18,1322.4,117307,0.01739174271186924,0.01662962316496168
2019-12-19,1340.0,200152,0.013221346438142626,0.016624919589799683
2019-12-20,1285.6,183508,-0.04144407852165424,0.019471572988790768
2019-12-23,1304.6,56853,0.014670944938692865,0.019635029708095757
2019-12-24,1310.0,42682,0.004130656833201735,0.019509630267174737
2019-12-25,1313.8,36177,0.0028965642631752506,0.01951002613570309
2019-12-26,1305.0,25835,-0.006720660701578736,0.01949082316916539
2019-12-27,1308.6,65864,0.002754822678844462,0.019308880502006277
2019-12-30,1311.2,38121,0.001984884993981768,0.019086361378071473
2020-01-03,1332.4,86037,0.0160390788899047,0.01628714523426557
2020-01-06,1322.8,54394,-0.007231125211887008,0.01664270641840479
2020-01-08,1350.2,69111,0.020502027500132546,0.016472022212953893
2020-01-09,1366.8,65027,0.012219511633366535,0.01639817297709106
2020-01-10,1398.4,73345,0.022856484660134367,0.015515118413224655
2020-01-13,1426.4,309449,0.019825061647659657,0.015797125968449014
2020-01-14,1426.4,405080,0.0,0.01570257573975644
2020-01-15,1453.8,439150,0.019027030501604394,0.01582292654887285
2020-01-16,1452.0,696392,-0.0012389016657935914,0.01578425042813312
2020-01-17,1465.2,173432,0.009049835519917856,0.01454021008884984
2020-01-20,1473.2,171556,0.0054451536662508265,0.014465960530714906
2020-01-21,1448.0,290698,-0.01725361162524863,0.015123353168353606
2020-01-22,1444.8,346407,-0.00221239028294074,0.015050474933320944
2020-01-23,1436.4,335086,-0.005830920310793099,0.01097514076041143
2020-01-24,1437.4,247016,0.0006959426824145526,0.010807176518970557
2020-01-27,1399.2,249092,-0.026935281329949993,0.012938010367591818
2020-01-28,1450.0,185645,0.03566291171022779,0.014822419400098433
2020-01-29,1468.0,230034,0.012337373759840784,0.01464541085337862
2020-01-30,1486.2,50912,0.012321596548908027,0.014693949252963792
2020-01-31,1515.0,91160,0.01919291222010051,0.014926055759618242
2020-02-03,1545.0,198887,0.019608471388376337,0.015057767303012528
2020-02-04,1590.4,215604,0.028961646570463823,0.015378004453037046
2020-02-05,1635.2,356181,0.02777956410707567,0.015741033757934564
2020-02-06,1645.2,218745,0.006096836346883768,0.015746445115007255
2020-02-07,1662.0,139804,0.010159739059124477,0.015422447390909772
2020-02-10,1670.6,176483,0.005161146906412329,0.01520954363629787
2020-02-11,1684.8,182803,0.008464019057905189,0.015095443157962128
2020-02-12,1671.6,95963,-0.007865610805950737,0.01528845241651448
2020-02-13,1657.8,72840,-0.008289829416334486,0.015566716587385065
2020-02-14,1650.0,89670,-0.004716134262799561,0.015757145736207828
2020-02-17,1610.2,128859,-0.0244168930287459,0.017158893686289162
2020-02-18,1604.0,89952,-0.0038578854394206307,0.01651670943061738
2020-02-19,1624.8,54883,0.012884221839715071,0.016509137666132403
2020-02-20,1644.4,89189,0.01199084475754841,0.01632422916499762
2020-02-21,1631.6,72203,-0.007814447580320062,0.01659926977396406
2020-02-25,1590.6,151916,-0.025449824920368555,0.01644517012161308
2020-02-26,1595.2,343060,0.002887816684539158,0.014940982687527063
2020-02-27,1551.0,190779,-0.02809923603103513,0.016516237112398326
2020-02-28,1474.2,416136,-0.050784414421350337,0.020206992945048522
2020-03-02,1437.4,459641,-0.025279543720846162,0.020383006498881515
