date,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2019-09-02,93.73,25,,
2019-09-03,93.27,9,-0.014581706931359299,
2019-09-04,96.23,12,0.01055115560193692,
2019-09-05,95.12,3,-0.0043010818993905854,
2019-09-06,95.54,5179830,0.002515197301659397,
2019-09-09,94.1,11,-0.013720531862906964,
2019-09-10,95.0,2,-0.006818804285721147,
2019-09-11,96.79,10933410,0.016773847468032777,
2019-09-12,96.06,5,-0.007570686924318992,
2019-09-13,96.8,14943110,0.008298802814695064,
2019-09-16,95.6,2,-0.014538158446027282,
2019-09-17,96.5,1,-0.008769723473268359,0.011125538327806293
2019-09-18,96.0,9,-0.006748014186503695,0.009664288041883889
2019-09-19,96.24,5067390,0.0029136336949295576,0.009231499597693241
2019-09-20,95.79,8,-0.002189896073035796,0.009204043991224197
2019-09-23,94.69,13,-0.009355195154603485,0.009179446682083467
2019-09-24,95.05,5,-0.011194341933830041,0.009289187290275946
2019-09-25,94.99,4598670,-0.0016829708400675598,0.008400746331586733
2019-09-26,94.94,3090870,0.00644584046141008,0.008537196261469267
2019-09-27,95.33,12,0.0064193853697912156,0.00842719734658039
2019-09-30,94.21,18,-0.006770363320446815,0.006655318183525809
2019-10-01,94.94,15,0.0021088156275663483,0.006633188472554496
2019-10-02,91.55,12183160,-0.03730736010270422,0.010483767178583887
2019-10-03,91.82,38,0.002071409843954009,0.01048854599920254
2019-10-04,91.63,41,-0.0006545930846875882,0.010323831783052202
2019-10-07,91.53,29,0.0009837679101327482,0.010119844329724535
2019-10-08,90.0,7060360,-0.011159720258999271,0.009351074557586974
2019-10-09,90.1,6481430,-0.001995787335042839,0.00940453836681143
2019-10-10,89.63,8,-0.0012265151785669378,0.00912448009974774
2019-10-11,90.72,6,0.007968169649176881,0.009342953339028149
2019-10-14,89.5,12,-0.008344971932180647,0.009389653569199765
2019-10-15,91.5,9672960,0.019979692151563935,0.01052898517342742
2019-10-16,93.5,36,0.023810648693718607,0.00837044363585966
2019-10-17,93.14,23,-0.00865898830524319,0.008694288672911344
2019-10-18,92.76,8,0.0006470398155215375,0.008763871207323888
2019-10-21,93.26,5294530,0.006022818808365334,0.00882788958051799
2019-10-22,92.99,8500320,-0.0023630515829597635,0.008251624159349116
2019-10-23,93.05,4229960,0.003229281600715211,0.008267506658494118
2019-10-24,91.27,25,-0.02103286554427978,0.009629831501040416
2019-10-25,92.76,29,0.00659782827149851,0.009757036031000114
2019-10-28,93.52,9,0.0034275954722674975,0.009387906134669869
2019-10-29,94.0,3614850,0.004157566886350675,0.008426896305370314
2019-10-30,94.83,13,0.005922809487577053,0.006677401635112272
2019-10-31,95.72,13,0.007655640138081508,0.006420496067210676
2019-11-01,96.6,135,0.016386109995248296,0.0073852474004368306
2019-11-05,100.29,29798490,0.03283967948509776,0.010046825448177811
2019-11-06,99.95,9478770,-0.0006001200420155949,0.01006227211989216
2019-11-07,100.5,15,0.01150875850130472,0.010359866022604048
2019-11-08,97.82,24,-0.017229573879658223,0.010369983306564837
2019-11-11,99.65,19,0.005131054066375962,0.010505835105056672
2019-11-12,99.7,9812150,-0.0030045090202987243,0.010603361039727956
2019-11-13,100.26,3481810,-0.0017937224540268775,0.010693802837612633
2019-11-14,98.86,30,-0.00946347543860503,0.011148317919023331
2019-11-15,100.67,7,0.0072778348252730135,0.011310173674835139
2019-11-18,99.31,6,-0.008223070804444203,0.010990475092050856
2019-11-19,100.5,5048750,0.004987541511038968,0.008290285638231738
2019-11-20,103.17,17046160,0.02622038561315415,0.010097872518079752
2019-11-21,102.24,15,-0.009345862418237769,0.010248144212988709
2019-11-22,103.06,65,0.0033045029584272733,0.00967871901079026
2019-11-25,102.75,2,-0.023564446927265545,0.010949985721539745
2019-11-26,105.0,12990450,0.0055391221751169535,0.011413448902648284
2019-11-27,106.18,33,0.022573461950371347,0.012597887888332628
2019-11-28,105.19,13,-0.01237674639829709,0.012915505286633931
2019-11-29,105.08,7,-0.004746994578131031,0.012587775657084905
2019-12-02,106.28,7086650,0.005472228015420827,0.012442193486996338
2019-12-03,103.89,7044440,-0.037223265811540666,0.015433794999720446
2019-12-04,106.0,24,0.029875833622757926,0.015956626289007403
2019-12-05,105.36,41,-0.005867339629590435,0.015854819271792765
2019-12-06,106.3,9,0.018418825079374507,0.016496802338452066
2019-12-09,106.05,3623120,-0.0011309020147903285,0.014856856436739096
2019-12-10,104.8,4265250,-0.006088298867255293,0.014551745275538553
2019-12-11,106.17,14,0.014993638259304845,0.013789488267192552
2019-12-12,108.21,22,0.017808498235654998,0.014009753762646458
2019-12-13,108.96,7010660,0.008016628973090596,0.014016501342404161
2019-12-16,109.09,5327060,0.010875683234023166,0.014348961890102447
2019-12-17,109.05,7424570,0.00303072280474978,0.010891926455981226
2019-12-18,107.13,8,-0.017763442373171314,0.011493021139181776
2019-12-19,107.06,4,-0.0020528140081878146,0.009459227105010175
2019-12-20,107.31,16,-0.011489054385264704,0.009904836143562709
2019-12-23,108.59,9,0.010274538481518495,0.009663702003826677
2019-12-24,107.2,1733400,-0.007897834316193309,0.009716009261115993
2019-12-25,107.0,9,-0.0004671805737856531,0.009146653940499492
2019-12-26,106.74,1857350,-0.000749204005825473,0.008169256177705244
2019-12-27,105.53,14,-0.011400698222799861,0.00851429627292666
2019-12-30,108.5,37,0.013173954328362455,0.009270028174056224
2020-01-03,107.18,5156720,-0.005304064917152943,0.009091550831873694
2020-01-06,106.2,31,-0.007504725654067693,0.008307465429445595
2020-01-08,111.45,14,0.031167093502984227,0.011451101236075017
2020-01-09,110.87,7,0.0002706237894825479,0.01082414834263601
2020-01-10,112.99,7686760,0.017769117908820672,0.011087008061881886
2020-01-13,115.0,25,0.02020270731751947,0.011586106241726096
2020-01-14,113.75,15,-0.0030721990369701403,0.01162435292521626
2020-01-15,115.09,12,0.009340559376964049,0.011615412702261265
2020-01-16,114.5,9406250,-0.011980349906855252,0.011626859299016405
2020-01-17,114.8,6497840,-0.0033046381930603424,0.011243240582375592
2020-01-20,116.47,18,0.02108446507008909,0.011760830793567555
2020-01-21,114.05,12,-0.016953242375967657,0.01248967291749771
2020-01-22,123.36,2,0.07348460069142797,0.019007280221843028
2020-01-23,113.82,5111700,-0.005956569819316524,0.026062194275392477
2020-01-24,113.5,42,-0.004395611473038109,0.025796460500603066
2020-01-27,115.0,47,0.017544309650909525,0.02570812448248565
2020-01-28,112.64,16,0.018095987843200316,0.027450047896301764
2020-01-29,111.8,4692750,0.004482302439499606,0.027481855904246708
2020-01-30,111.81,5379930,-0.014913725153770782,0.027740132378386007
2020-01-31,112.46,24,0.01279716779788133,0.027904566029835924
2020-02-03,111.8,27,0.016776798288484576,0.028133607033844335
2020-02-04,113.46,12,0.022460837271332666,0.02845239771974748
2020-02-05,113.3,5923470,-0.0004412089195773133,0.022474610175736834
2020-02-06,111.84,10,-0.019129169908995304,0.01582275317637894
2020-02-07,112.5,23,0.0007113640705458424,0.015850878409578963
2020-02-10,112.0,14,-0.010303875138271834,0.01548484506579692
2020-02-11,114.0,5489370,0.0017559267022650125,0.012577165280107147
2020-02-12,112.91,7322380,-0.009607407202064726,0.012432608387714077
2020-02-13,112.25,5115890,-0.003201995086570546,0.011495425039936715
2020-02-14,113.16,15,-0.02805795279515738,0.015199730591858251
2020-02-17,113.4,13,0.007968169649176881,0.013924754534173816
2020-02-18,112.0,14,-0.0071174677688639896,0.012978663927368553
2020-02-19,111.65,3622240,-0.0013425824348318274,0.01298168028731513
2020-02-20,112.0,11,-0.004454350349380309,0.01232480400938904
2020-02-21,111.12,8,-0.007888172849006144,0.012383269770543348
2020-02-25,107.8,20,-0.03222110526571916,0.014047875854496922
2020-02-26,107.3,12945700,-0.002234221744879295,0.013362676242310956
2020-02-27,104.73,10697900,-0.028799280008482697,0.014602016752250936
2020-02-28,99.26,30,-0.051922755715347775,0.018150360631320663
2020-03-02,101.57,35,0.024820611330250892,0.016154415713627676
2020-03-03,97.8,56,-0.01954195737300496,0.016327847265777993
