date,price_TCSG,volume_TCSG,log_return_TCSG,volatility_TCSG,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2019-10-28,1206.0,204766,,,93.52,9,0.0034275954722674975,0.009387906134669869
2019-10-29,1219.8,68382,0.011377812575225224,,94.0,3614850,0.004157566886350675,0.008426896305370314
2019-10-30,1217.0,36691,-0.0022980968748287835,,94.83,13,0.005922809487577053,0.006677401635112272
2019-10-31,1216.0,19326,-0.0008220304614148749,,95.72,13,0.007655640138081508,0.006420496067210676
2019-11-01,1214.0,16625,-0.0016460909066687917,,96.6,135,0.016386109995248296,0.0073852474004368306
2019-11-05,1198.0,61347,-0.01326719294404891,,100.29,29798490,0.03283967948509776,0.010046825448177811
2019-11-06,1208.6,21717,0.008809165252063322,,99.95,9478770,-0.0006001200420155949,0.01006227211989216
2019-11-07,1225.8,38222,0.014131027124173181,,100.5,15,0.01150875850130472,0.010359866022604048
2019-11-08,1222.8,20250,-0.002450381034951917,,97.82,24,-0.017229573879658223,0.010369983306564837
2019-11-11,1222.0,7094,-0.0006544502851387309,,99.65,19,0.005131054066375962,0.010505835105056672
2019-11-12,1235.6,27393,0.011067821312885839,,99.7,9812150,-0.0030045090202987243,0.010603361039727956
2019-11-13,1239.4,33644,0.0030707094835807046,,100.26,3481810,-0.0017937224540268775,0.010693802837612633
2019-11-14,1261.2,84600,0.017436257142898537,,98.86,30,-0.00946347543860503,0.011148317919023331
2019-11-15,1250.0,33713,-0.008920097374558967,,100.67,7,0.0072778348252730135,0.011310173674835139
2019-11-18,1255.0,43925,0.003992021269537457,,99.31,6,-0.008223070804444203,0.010990475092050856
2019-11-19,1241.0,128523,-0.01121806636127702,,100.5,5048750,0.004987541511038968,0.008290285638231738
2019-11-20,1215.8,126020,-0.020515209889985106,,103.17,17046160,0.02622038561315415,0.010097872518079752
2019-11-21,1210.8,63452,-0.004120998167058573,,102.24,15,-0.009345862418237769,0.010248144212988709
2019-11-22,1202.0,80217,-0.007294462052410662,,103.06,65,0.0033045029584272733,0.00967871901079026
2019-11-25,1206.0,52066,0.00332226219197786,,102.75,2,-0.023564446927265545,0.010949985721539745
2019-11-26,1199.4,128226,-0.005487666552721335,0.009695006355449762,105.0,12990450,0.0055391221751169535,0.011413448902648284
2019-11-27,1203.0,70640,0.002997005240269506,0.009339464183989125,106.18,33,0.022573461950371347,0.012597887888332628
2019-11-28,1194.2,117215,-0.0073419318617868245,0.009452490356635621,105.19,13,-0.01237674639829709,0.012915505286633931
2019-11-29,1185.8,87847,-0.0070588528396248,0.00955056737208325,105.08,7,-0.004746994578131031,0.012587775657084905
2019-12-02,1176.4,62359,-0.007958724593427197,0.009667680543709666,106.28,7086650,0.005472228015420827,0.012442193486996338
2019-12-03,1133.0,127204,-0.037589945651833705,0.012368676507721495,103.89,7044440,-0.037223265811540666,0.015433794999720446
2019-12-04,1140.0,34008,0.006159280360534867,0.012251532675494892,106.0,24,0.029875833622757926,0.015956626289007403
2019-12-05,1167.8,72013,0.02409337446089601,0.013150860955670668,105.36,41,-0.005867339629590435,0.015854819271792765
2019-12-06,1186.2,125107,0.015633283555189097,0.01375663899762673,106.3,9,0.018418825079374507,0.016496802338452066
2019-12-09,1228.4,89712,0.034957589162041156,0.015996825897983808,106.05,3623120,-0.0011309020147903285,0.014856856436739096
2019-12-10,1238.8,158239,0.008430659532380244,0.01591371391124169,104.8,4265250,-0.006088298867255293,0.014551745275538553
2019-12-11,1234.8,102807,-0.003234155471043448,0.01591482791292158,106.17,14,0.014993638259304845,0.013789488267192552
2019-12-12,1235.0,176037,0.0001619564340732692,0.015367452033686056,108.21,22,0.017808498235654998,0.014009753762646458
2019-12-13,1257.2,92558,0.017816055861334907,0.015803467341306155,108.96,7010660,0.008016628973090596,0.014016501342404161
2019-12-16,1300.0,244473,0.03347723852621548,0.017456152020840467,109.09,5327060,0.010875683234023166,0.014348961890102447
2019-12-17,1299.6,90448,-0.0003077396546829009,0.017197750617444163,109.05,7424570,0.00303072280474978,0.010891926455981226
2019-12-18,1322.4,117307,0.01739174271186924,0.01662962316496168,107.13,8,-0.017763442373171314,0.011493021139181776
2019-12-19,1340.0,200152,0.013221346438142626,0.016624919589799683,107.06,4,-0.0020528140081878146,0.009459227105010175
2019-12-20,1285.6,183508,-0.04144407852165424,0.019471572988790768,107.31,16,-0.011489054385264704,0.009904836143562709
2019-12-23,1304.6,56853,0.014670944938692865,0.019635029708095757,108.59,9,0.010274538481518495,0.009663702003826677
2019-12-24,1310.0,42682,0.004130656833201735,0.019509630267174737,107.2,1733400,-0.007897834316193309,0.009716009261115993
2019-12-25,1313.8,36177,0.0028965642631752506,0.01951002613570309,107.0,9,-0.0004671805737856531,0.009146653940499492
2019-12-26,1305.0,25835,-0.006720660701578736,0.01949082316916539,106.74,1857350,-0.000749204005825473,0.008169256177705244
